customer_id,first_name,last_name,email,phone,address,city,state,country,account_creation_date
1,Cole,Taylor,nicoletorres@hotmail.com,001-574-619-8179x389,"0403 Elizabeth Garden, Paulstad, NJ 53534",New Jessicamouth,Alaska,Bangladesh,2022-02-05
2,Elizabeth,Lopez,ipearson@medina-francis.com,+1-407-036-4353,"4006 Eric Forge Apt. 293, Port Shelby, IA 12256",Lake Michael,Nevada,Saint Barthelemy,2023-08-13
3,Kevin,Perry,zacharygross@gmail.com,(056)935-1425x12471,"PSC 4059, Box 9378, APO AE 30903",Calhounchester,New Mexico,Italy,2022-12-12
4,Wayne,Taylor,ehernandez@miller.com,+1-156-485-4703,"409 Tracy Villages, Port Elizabeth, AL 80569",Floresside,Minnesota,Holy See (Vatican City State),2023-12-05
5,Carolyn,Clark,tnicholson@carroll.net,324.180.3780,"Unit 8501 Box 0208, DPO AA 72283",Lake Jaime,Wyoming,United Arab Emirates,2023-03-23
6,Teresa,Sparks,yvonnehardy@yahoo.com,368.528.0314x21737,"50363 Katie Skyway Apt. 872, Stonemouth, OK 46817",North Raymondfort,New Mexico,British Virgin Islands,2024-05-10
7,Tina,Riley,richard99@ryan.com,+1-994-220-8076x985,"130 Davis Station, East Meagan, NE 16472",Romeroberg,Vermont,Cuba,2022-07-09
8,Andrew,Sosa,michaelbrooks@gmail.com,(027)697-1407,"USNS Stewart, FPO AP 53337",Monroetown,Vermont,Finland,2022-04-09
9,Michelle,Johnson,kramirez@hunt-smith.com,121-300-4944x97818,"76187 Pitts Radial Suite 397, Lake Patrick, WA 83155",West Jessica,Massachusetts,Sweden,2022-09-05
10,Mary,Rodriguez,grayjoseph@gmail.com,+1-348-136-8915x120,"30085 Nielsen Causeway, Justinberg, CT 89777",Jaredport,Georgia,Kuwait,2024-06-12
11,Kristin,Allen,mary81@gmail.com,4417360258,"38204 Michael Station Suite 746, East Donaldstad, NE 20310",Curtisborough,Indiana,Myanmar,2023-01-30
12,Andrea,Wood,kcruz@hawkins.net,001-721-063-2579x27812,"19456 Johnson Squares, Leefurt, UT 30172",Williamland,Idaho,Armenia,2023-11-17
13,Jeffery,Adams,marysmith@hotmail.com,+1-570-046-4161x3023,"00939 Barrett Walk, West Brandiport, MD 88169",Anthonyton,Wyoming,El Salvador,2024-04-11
